CBSA Code,CBSA Title,county_fips,County/County Equivalent,State Name,cbsa_title_clean,cbsa_title,population_2024
39460,"Punta Gorda, FL",12015,Charlotte County,Florida,"Punta Gorda, FL",".Punta Gorda, FL Metro Area",212122.0
39540,"Racine-Mount Pleasant, WI",55101,Racine County,Wisconsin,"Racine-Mount Pleasant, WI",".Racine-Mount Pleasant, WI Metro Area",198651.0
39580,"Raleigh-Cary, NC",37069,Franklin County,North Carolina,"Raleigh-Cary, NC",".Raleigh-Cary, NC Metro Area",1562009.0
39580,"Raleigh-Cary, NC",37101,Johnston County,North Carolina,"Raleigh-Cary, NC",".Raleigh-Cary, NC Metro Area",1562009.0
39580,"Raleigh-Cary, NC",37183,Wake County,North Carolina,"Raleigh-Cary, NC",".Raleigh-Cary, NC Metro Area",1562009.0
39660,"Rapid City, SD",46033,Custer County,South Dakota,"Rapid City, SD",".Rapid City, SD Metro Area",156227.0
39660,"Rapid City, SD",46093,Meade County,South Dakota,"Rapid City, SD",".Rapid City, SD Metro Area",156227.0
39660,"Rapid City, SD",46103,Pennington County,South Dakota,"Rapid City, SD",".Rapid City, SD Metro Area",156227.0
39740,"Reading, PA",42011,Berks County,Pennsylvania,"Reading, PA",".Reading, PA Metro Area",439117.0
39820,"Redding, CA",06089,Shasta County,California,"Redding, CA",".Redding, CA Metro Area",181121.0
39900,"Reno, NV",32019,Lyon County,Nevada,"Reno, NV",".Reno, NV Metro Area",575110.0
39900,"Reno, NV",32029,Storey County,Nevada,"Reno, NV",".Reno, NV Metro Area",575110.0
39900,"Reno, NV",32031,Washoe County,Nevada,"Reno, NV",".Reno, NV Metro Area",575110.0
40060,"Richmond, VA",51007,Amelia County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51036,Charles City County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
40060,"Richmond, VA",51041,Chesterfield County,Virginia,"Richmond, VA",".Richmond, VA Metro Area",1370165.0
