"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1922454214","IHA Medicine Float Providers","3"
"1922818814","Kairos","3"
"1922818814","Kairos Pain Relief","3"
"1922818814","Kairos Relief","3"
"1922818814","Krysus LLC","4"
"1922869064","Novant Health Riverside Women's Care","3"
"1922869064","Riverside Women's Care","3"
"1932051935","Superior Primary Care","3"
"1942175336","RPHC ADULT","3"
"1942175336","RPHC OBGYN","3"
"1942948906","BHPG CS 2901 CAR","3"
"1942948906","BHPG CS 2901 NEU","3"
"1942948906","BHPG CS 2901 ONC","3"
"1952737264","Cumberland Healthcare Turtle Lake Clinic","3"
"1972458198","Tuolumne County Probation Dept.","5"
"1972663995","DELAWARE ORTHOPAEDIC SPECIALISTS","3"
"1285142885","VytlOne Pharmacy","3"
"1295689677","Monroe Pharmacy","3"
"1316899933","Mindful Wellness","3"
"1326404195","RIS & LRH Imaging, LLC","3"
"1326993569","Arise Therapy Clinic","3"
"1477600450","LVPG Transplant Surgery - 1250 Cedar Crest","3"
"1477600450","LVPG Transplant Surgery - Mountain Top","3"
"1477600450","LVPG Transplant Surgery - Steamtown","3"
"1477900710","BJOSC at Plover","3"
"1487441804","Hand to Shoulder Wellness","3"
"1497540728","Something to Say ABA","3"
"1497938542","WINNEBAGO TRIBAL HEALTH DEPARTMENT","3"
"1649543992","CENTRAL IMAGING CENTER","3"
"1679149595","Bilingual Speech-Language and Swallowing Therapy","3"
"1710536321","Bone & Joint Clinic S.C. @ Medford","3"
"1720933955","JHU-6410 ROCKLEDGE DR STE 150 PROVIDER TYPE: 20-PHYSICIAN","3"
"1760003594","PHI Air Medical","3"
"1801577648","Global Health Care","5"
"1801577648","Global Health Care Services LLC","5"
"1821943069","Pawnie's Home Care","3"
"1841145083","Mind Body Spirit - DPC, PLLC","3"
"1912399395","Dynamic Foot and Ankle Center","4"
"1912448374","Mequon Road Dialysis","3"
"1942335971","Centerpoint Surgical","3"
"1992212286","Estabrook Park Dialysis","3"
"1023172921","Binghamton Psychiatric Center","5"
"1033064795","RUSH Physical Therapy","3"
"1053481473","Eye Wear Associates","3"
"1053585125","Bone & Joint Surgery Center","3"
"1063367712","RUSH Physical Therapy","3"
"1063468072","USA Health University Hospital","3"
"1063468072","USA Medical Center","4"
"1063586949","Hanger Clinic","3"
"1104259449","Friends Assisting Seniors and Families","3"
"1104771864","RUSH Physical Therapy","3"
"1124973896","RUSH Physical Therapy","3"
"1184273799","Bone & Joint Clinic S.C. @ Merrill","3"
"1205781978","RUSH Physical Therapy","3"
"1225983497","RUSH Physical Therapy","3"
